Date Last Researched,Country/Area,Project Name,Unit Name,Project Name in Local Language / Script,Other Name(s), Capacity (MW) ,Status,Reactor Type,Model,Start Year,Retirement Year,Planned Retirement,Cancellation Year,Construction Start Date,First Criticality Date,First Grid Connection,Commercial Operation Date,Retirement Date,Owner,Owner Name in Local Language / Script,Operator,Operator Name in Local Language / Script,Reference Net Capacity (MW),Design Net Capacity (MW),Thermal Capacity (MWt),Latitude,Longitude,Location Accuracy,City,"Local Area (taluk, county)","Major Area (prefecture, district)",State/Province,Subregion,Region,GEM location ID,GEM unit ID,Wiki URL
2024-05-14,Germany,Niederaichbach nuclear power plant,1,,KKN,106,retired,heavy water gas-cooled reactor,pressure tube reactor,1973,1974,N,,1966-06-01,,,1973,1974-07-31,Karlsruhe Institute For Technology,,Kernkraftwerk Niederaichbach GMBH,,100,100,321,48.6047,12.3039,exact,,Landkreis Landshut,,Bavaria,Western Europe,Europe,L100000500273,G100000500636,https://www.gem.wiki/Niederaichbach_nuclear_power_plant
2024-05-14,Germany,Obrigheim nuclear power plant,--,,KWO,357,retired,pressurized water reactor,unknown,1969,2005,N,,1965-03-15,1968-09-22,1968-10-29,1969-03-31,2005-05-11,Kernkraftwerk Obrigheim GMBH,,EnBW Kraftwerke AG,,340,283,1050,49.3655,9.0779,exact,,Neckar-Odenwald-Kreis,,Baden-Württemberg,Western Europe,Europe,L100000500209,G100000500508,https://www.gem.wiki/Obrigheim_nuclear_power_plant
2024-05-14,Germany,Philippsburg nuclear power plant,1,,KKP,926,retired,boiling water reactor,BWR-69,1980,2011,N,,1970-10-01,1979-03-09,1979-05-05,1980-03-26,2011-08-06,EnBW Kraftwerke AG,,EnBW Kernkraft GMBH,,890,864,2575,49.2529,8.4364,exact,,Landkreis Karlsruhe,,Baden-Württemberg,Western Europe,Europe,L100000500015,G100000500343,https://www.gem.wiki/Philippsburg_nuclear_power_plant
2024-05-14,Germany,Philippsburg nuclear power plant,2,,KKP,1468,retired,pressurized water reactor,unknown,1985,2019,N,,1977-07-07,1984-12-13,1984-12-17,1985-04-18,2019-12-31,EnBW Kernkraft GMBH,,EnBW Kernkraft GMBH,,1402,1268,3950,49.2529,8.4364,exact,,Landkreis Karlsruhe,,Baden-Württemberg,Western Europe,Europe,L100000500015,G100000500030,https://www.gem.wiki/Philippsburg_nuclear_power_plant
2024-05-14,Germany,Rheinsberg nuclear power plant,--,,KKR,70,retired,pressurized water reactor,VVER-70,1966,1990,N,,1960-01-01,1966-03-01,1966-05-06,1966-10-11,1990-06-01,Energiewerke Nord GMBH,,Energiewerke Nord GMBH,,62,62,265,53.1478,12.9904,exact,,Ostprignitz-Ruppin,,Brandenburg,Western Europe,Europe,L100000500240,G100000500581,https://www.gem.wiki/Rheinsberg_nuclear_power_plant
2024-05-14,Germany,Stade nuclear power plant,--,,KKS,672,retired,pressurized water reactor,unknown,1972,2003,N,,1967-12-01,1972-01-08,1972-01-29,1972-05-19,2003-11-14,Kernkraftwerk Stade GMBH,,PreussenElektra,,640,630,1900,53.6197,9.5308,exact,,Stade,,Lower Saxony,Western Europe,Europe,L100000500179,G100000500400,https://www.gem.wiki/Stade_nuclear_power_plant
2024-05-14,Germany,Stendal nuclear power plant,1,,,1000,cancelled,pressurized water reactor,VVER V-1000,,,,1990,,,,,,,,,,,,,52.7237,12.0176,exact,,Stendal,,Saxony-Anhalt,Western Europe,Europe,L100000500417,G100000501194,https://www.gem.wiki/Stendal_nuclear_power_plant
2024-05-14,Germany,Stendal nuclear power plant,2,,,1000,cancelled,pressurized water reactor,VVER V-1000,,,,1990,,,,,,,,,,,,,52.7237,12.0176,exact,,Stendal,,Saxony-Anhalt,Western Europe,Europe,L100000500417,G100000501195,https://www.gem.wiki/Stendal_nuclear_power_plant
2024-05-14,Germany,Stendal nuclear power plant,3,,,1000,cancelled,pressurized water reactor,VVER V-1000,,,,1990,,,,,,,,,,,,,52.7237,12.0176,exact,,Stendal,,Saxony-Anhalt,Western Europe,Europe,L100000500417,G100000501196,https://www.gem.wiki/Stendal_nuclear_power_plant
2024-05-14,Germany,Stendal nuclear power plant,4,,,1000,cancelled,pressurized water reactor,VVER V-1000,,,,1990,,,,,,,,,,,,,52.7237,12.0176,exact,,Stendal,,Saxony-Anhalt,Western Europe,Europe,L100000500417,G100000501197,https://www.gem.wiki/Stendal_nuclear_power_plant
2024-05-14,Germany,THTR-300 nuclear power plant,--,,Thorium High-Temperature Reactor,308,retired,high temperature gas reactor,Pebble bed reactor,1987,1988,N,,1971-05-03,1983-09-13,1985-11-16,1987-06-01,1988-09-29,Hochtemperatur-Kernkraftwerk GMBH,,Hochtemperatur-Kernkraftwerk GMBH,,296,296,760,51.6803,7.97201,exact,Hamm,,,North Rhine-Westphalia,Western Europe,Europe,L100000500222,G100000500543,https://www.gem.wiki/THTR-300_nuclear_power_plant
2024-05-14,Germany,Unterweser nuclear power plant,--,,KKU,1410,retired,pressurized water reactor,unknown,1979,2011,N,,1972-07-01,1978-09-16,1978-09-29,1979-09-06,2011-08-06,PreussenElektra GmbH,,PreussenElektra,,1345,1230,3900,53.4282,8.4791,exact,,Landkreis Wesermarsch,,Lower Saxony,Western Europe,Europe,L100000500024,G100000500040,https://www.gem.wiki/Unterweser_nuclear_power_plant
2024-05-14,Germany,Wuergassen nuclear power plant,--,,KWW,670,retired,boiling water reactor,unknown,1975,1994,N,,1968-01-26,1971-10-20,1971-12-18,1975-11-11,1994-08-26,PreussenElektra GMBH,,PreussenElektra GMBH,,640,640,1912,51.6395,9.3919,exact,,Kreis Höxter,,North Rhine-Westphalia,Western Europe,Europe,L100000500176,G100000500397,https://www.gem.wiki/Wuergassen_nuclear_power_plant
2024-05-08,Hungary,Paks nuclear power plant,1,,,509,operating,pressurized water reactor,VVER V-213,1983,,,,1974-08-01,1982-12-14,1982-12-28,1983-08-10,,MVM Hungarian Electricity LTD,Magyar Villamos Művek Zártkörűen működő Részvénytársaság,MVM Paks Nuclear Power Plant LTD,,479,408,1485,46.57763,18.8532,exact,,Tolna,,,Eastern Europe,Europe,L100000500197,G100000500454,https://www.gem.wiki/Paks_nuclear_power_plant
2024-05-08,Hungary,Paks nuclear power plant,2,,,506,operating,pressurized water reactor,VVER V-213,1984,,,,1974-08-01,1984-08-26,1984-09-06,1984-11-14,,MVM Hungarian Electricity LTD,Magyar Villamos Művek Zártkörűen működő Részvénytársaság,MVM Paks Nuclear Power Plant LTD,,479,410,1485,46.57763,18.8532,exact,,Tolna,,,Eastern Europe,Europe,L100000500197,G100000500455,https://www.gem.wiki/Paks_nuclear_power_plant
2024-05-08,Hungary,Paks nuclear power plant,3,,,506,operating,pressurized water reactor,VVER V-213,1986,,,,1979-10-01,1986-09-15,1986-09-28,1986-12-01,,MVM Hungarian Electricity LTD,Magyar Villamos Művek Zártkörűen működő Részvénytársaság,MVM Paks Nuclear Power Plant LTD,,479,410,1485,46.57763,18.8532,exact,,Tolna,,,Eastern Europe,Europe,L100000500197,G100000500456,https://www.gem.wiki/Paks_nuclear_power_plant
2024-05-08,Hungary,Paks nuclear power plant,4,,,506,operating,pressurized water reactor,VVER V-213,1987,,,,1979-10-01,1987-08-09,1987-08-16,1987-11-01,,MVM Hungarian Electricity LTD,Magyar Villamos Művek Zártkörűen működő Részvénytársaság,MVM Paks Nuclear Power Plant LTD,,479,410,1485,46.57763,18.8532,exact,,Tolna,,,Eastern Europe,Europe,L100000500197,G100000500457,https://www.gem.wiki/Paks_nuclear_power_plant
2024-05-08,Hungary,Paks nuclear power plant,5,,,1265,pre-construction,pressurized water reactor,VVER V-527,2032,,,,,,,2032,,MVM Hungarian Electricity LTD,Magyar Villamos Művek Zártkörűen működő Részvénytársaság,MVM Paks Nuclear Power Plant LTD,,,1185,3200,46.57763,18.8532,exact,,Tolna,,,Eastern Europe,Europe,L100000500197,G100000500623,https://www.gem.wiki/Paks_nuclear_power_plant
2024-05-08,Hungary,Paks nuclear power plant,6,,,1265,pre-construction,pressurized water reactor,VVER V-527,2032,,,,,,,2032,,MVM Hungarian Electricity LTD,Magyar Villamos Művek Zártkörűen működő Részvénytársaság,MVM Paks Nuclear Power Plant LTD,,,1185,3200,46.57763,18.8532,exact,,Tolna,,,Eastern Europe,Europe,L100000500197,G100000500624,https://www.gem.wiki/Paks_nuclear_power_plant
2024-05-20,India,Bhimpur nuclear power plant,1,,,700,cancelled - inferred 4 y,pressurized heavy water reactor,PHWR-700,,,,,,,,,,,,,,,,,21.905406,77.541972,approximate,Bhimpur,Bhimpur Tehsil,Betul District,Madhya Pradesh,Southern Asia,Asia,L100001016302,G100001017751,https://www.gem.wiki/Bhimpur_nuclear_power_plant
2024-05-20,India,Bhimpur nuclear power plant,2,,,700,cancelled - inferred 4 y,pressurized heavy water reactor,PHWR-700,,,,,,,,,,,,,,,,,21.905406,77.541972,approximate,Bhimpur,Bhimpur Tehsil,Betul District,Madhya Pradesh,Southern Asia,Asia,L100001016302,G100001017752,https://www.gem.wiki/Bhimpur_nuclear_power_plant
2024-05-20,India,Bhimpur nuclear power plant,3,,,700,cancelled - inferred 4 y,pressurized heavy water reactor,PHWR-700,,,,,,,,,,,,,,,,,21.905406,77.541972,approximate,Bhimpur,Bhimpur Tehsil,Betul District,Madhya Pradesh,Southern Asia,Asia,L100001016302,G100001017753,https://www.gem.wiki/Bhimpur_nuclear_power_plant
2024-05-20,India,Bhimpur nuclear power plant,4,,,700,cancelled - inferred 4 y,pressurized heavy water reactor,PHWR-700,,,,,,,,,,,,,,,,,21.905406,77.541972,approximate,Bhimpur,Bhimpur Tehsil,Betul District,Madhya Pradesh,Southern Asia,Asia,L100001016302,G100001017754,https://www.gem.wiki/Bhimpur_nuclear_power_plant
2024-05-17,India,Chutka nuclear power plant,1,,,700,pre-construction,pressurized heavy water reactor,PHWR-700,2031,,,,,,,2031,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,,,,22.7701,80.0933,exact,,Narayanganj Tahsil,Mandla,Madhya Pradesh,Southern Asia,Asia,L100000500289,G100000500688,https://www.gem.wiki/Chutka_nuclear_power_plant
2024-05-17,India,Chutka nuclear power plant,2,,,700,pre-construction,pressurized heavy water reactor,PHWR-700,2031,,,,,,,2031,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,,,,22.7701,80.0933,exact,,Narayanganj Tahsil,Mandla,Madhya Pradesh,Southern Asia,Asia,L100000500289,G100000500689,https://www.gem.wiki/Chutka_nuclear_power_plant
2024-05-17,India,Gorakhpur Haryana nuclear power plant,1,,GHAVP,700,pre-construction,pressurized heavy water reactor,PHWR-700,2029,,,,,,,2029,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,,630,,29.44139,75.6322,exact,,Bhuna,Fatehabad,Haryana,Southern Asia,Asia,L100000500278,G100000500641,https://www.gem.wiki/Gorakhpur_Haryana_nuclear_power_plant
2024-05-17,India,Gorakhpur Haryana nuclear power plant,2,,GHAVP,700,pre-construction,pressurized heavy water reactor,PHWR-700,2029,,,,,,,2029,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,,630,,29.44139,75.6322,exact,,Bhuna,Fatehabad,Haryana,Southern Asia,Asia,L100000500278,G100000500642,https://www.gem.wiki/Gorakhpur_Haryana_nuclear_power_plant
2024-05-17,India,Gorakhpur Haryana nuclear power plant,3,,GHAVP,700,pre-construction,pressurized heavy water reactor,PHWR-700,2031,,,,,,,2031,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,,,,29.44139,75.6322,exact,,Bhuna,Fatehabad,Haryana,Southern Asia,Asia,L100000500278,G100000500686,https://www.gem.wiki/Gorakhpur_Haryana_nuclear_power_plant
2024-05-17,India,Gorakhpur Haryana nuclear power plant,4,,GHAVP,700,pre-construction,pressurized heavy water reactor,PHWR-700,2031,,,,,,,2031,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,,,,29.44139,75.6322,exact,,Bhuna,Fatehabad,Haryana,Southern Asia,Asia,L100000500278,G100000500687,https://www.gem.wiki/Gorakhpur_Haryana_nuclear_power_plant
2024-05-20,India,Haripur nuclear power plant,1,,,1000,cancelled - inferred 4 y,pressurized water reactor,VVER-1200,,,,,,,,,,,,,,,,,21.702154,87.800433,approximate,Haripur,Contai I,Purba Midnapore District,West Bengal,Southern Asia,Asia,L100001016303,G100001017755,https://www.gem.wiki/Haripur_nuclear_power_plant
2024-05-20,India,Haripur nuclear power plant,2,,,1000,cancelled - inferred 4 y,pressurized water reactor,VVER-1200,,,,,,,,,,,,,,,,,21.702154,87.800433,approximate,Haripur,Contai I,Purba Midnapore District,West Bengal,Southern Asia,Asia,L100001016303,G100001017756,https://www.gem.wiki/Haripur_nuclear_power_plant
2024-05-20,India,Haripur nuclear power plant,3,,,1000,cancelled - inferred 4 y,pressurized water reactor,VVER-1200,,,,,,,,,,,,,,,,,21.702154,87.800433,approximate,Haripur,Contai I,Purba Midnapore District,West Bengal,Southern Asia,Asia,L100001016303,G100001017757,https://www.gem.wiki/Haripur_nuclear_power_plant
2024-05-20,India,Haripur nuclear power plant,4,,,1000,cancelled - inferred 4 y,pressurized water reactor,VVER-1200,,,,,,,,,,,,,,,,,21.702154,87.800433,approximate,Haripur,Contai I,Purba Midnapore District,West Bengal,Southern Asia,Asia,L100001016303,G100001017758,https://www.gem.wiki/Haripur_nuclear_power_plant
2024-05-20,India,Haripur nuclear power plant,5,,,1000,cancelled - inferred 4 y,pressurized water reactor,VVER-1200,,,,,,,,,,,,,,,,,21.702154,87.800433,approximate,Haripur,Contai I,Purba Midnapore District,West Bengal,Southern Asia,Asia,L100001016303,G100001017759,https://www.gem.wiki/Haripur_nuclear_power_plant
2024-05-20,India,Haripur nuclear power plant,6,,,1000,cancelled - inferred 4 y,pressurized water reactor,VVER-1200,,,,,,,,,,,,,,,,,21.702154,87.800433,approximate,Haripur,Contai I,Purba Midnapore District,West Bengal,Southern Asia,Asia,L100001016303,G100001017760,https://www.gem.wiki/Haripur_nuclear_power_plant
2024-05-17,India,Jaitapur nuclear power plant,1,,,1650,pre-construction,pressurized water reactor,EPR,,,,,,,,,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,,,,16.5997,73.33001,exact,,Rajapur,Ratnagiri,Maharashtra,Southern Asia,Asia,L100000500290,G100000500690,https://www.gem.wiki/Jaitapur_nuclear_power_plant
2024-05-17,India,Jaitapur nuclear power plant,2,,,1650,pre-construction,pressurized water reactor,EPR,,,,,,,,,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,,,,16.5997,73.33001,exact,,Rajapur,Ratnagiri,Maharashtra,Southern Asia,Asia,L100000500290,G100000500691,https://www.gem.wiki/Jaitapur_nuclear_power_plant
2024-05-17,India,Jaitapur nuclear power plant,3,,,1650,pre-construction,pressurized water reactor,EPR,,,,,,,,,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,,,,16.5997,73.33001,exact,,Rajapur,Ratnagiri,Maharashtra,Southern Asia,Asia,L100000500290,G100000500692,https://www.gem.wiki/Jaitapur_nuclear_power_plant
2024-05-17,India,Jaitapur nuclear power plant,4,,,1650,pre-construction,pressurized water reactor,EPR,,,,,,,,,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,,,,16.5997,73.33001,exact,,Rajapur,Ratnagiri,Maharashtra,Southern Asia,Asia,L100000500290,G100000500693,https://www.gem.wiki/Jaitapur_nuclear_power_plant
2024-05-17,India,Jaitapur nuclear power plant,5,,,1650,pre-construction,pressurized water reactor,EPR,,,,,,,,,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,,,,16.5997,73.33001,exact,,Rajapur,Ratnagiri,Maharashtra,Southern Asia,Asia,L100000500290,G100000500694,https://www.gem.wiki/Jaitapur_nuclear_power_plant
2024-05-17,India,Jaitapur nuclear power plant,6,,,1650,pre-construction,pressurized water reactor,EPR,,,,,,,,,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,,,,16.5997,73.33001,exact,,Rajapur,Ratnagiri,Maharashtra,Southern Asia,Asia,L100000500290,G100000500695,https://www.gem.wiki/Jaitapur_nuclear_power_plant
2024-05-17,India,Kaiga nuclear power plant,1,,,220,operating,pressurized heavy water reactor,Horizontal Pressure Tube type,2000,,,,1989-09-01,2000-09-26,2000-10-12,2000-11-16,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,202,202,801,14.86663,74.4398,exact,,Karwar taluk,Uttara Kannada,Karnataka,Southern Asia,Asia,L100000500220,G100000500535,https://www.gem.wiki/Kaiga_nuclear_power_plant
2024-05-17,India,Kaiga nuclear power plant,2,,,220,operating,pressurized heavy water reactor,Horizontal Pressure Tube type,2000,,,,1989-12-01,1999-09-24,1999-12-02,2000-03-16,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,202,202,801,14.86663,74.4398,exact,,Karwar taluk,Uttara Kannada,Karnataka,Southern Asia,Asia,L100000500220,G100000500536,https://www.gem.wiki/Kaiga_nuclear_power_plant
2024-05-17,India,Kaiga nuclear power plant,3,,,220,operating,pressurized heavy water reactor,Horizontal Pressure Tube type,2007,,,,2002-03-30,2007-02-26,2007-04-11,2007-05-06,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,202,202,800,14.86663,74.4398,exact,,Karwar taluk,Uttara Kannada,Karnataka,Southern Asia,Asia,L100000500220,G100000500540,https://www.gem.wiki/Kaiga_nuclear_power_plant
2024-05-17,India,Kaiga nuclear power plant,4,,,220,operating,pressurized heavy water reactor,Horizontal Pressure Tube type,2011,,,,2002-05-10,2010-11-27,2011-01-19,2011-01-20,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,202,202,800,14.86663,74.4398,exact,,Karwar taluk,Uttara Kannada,Karnataka,Southern Asia,Asia,L100000500220,G100000500541,https://www.gem.wiki/Kaiga_nuclear_power_plant
2024-05-17,India,Kaiga nuclear power plant,5,,,700,pre-construction,pressurized heavy water reactor,Horizontal Pressure Tube type,2026,,,,2022,,,2026,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,,630,2166,14.86663,74.4398,exact,,Karwar taluk,Uttara Kannada,Karnataka,Southern Asia,Asia,L100000500220,G100000500631,https://www.gem.wiki/Kaiga_nuclear_power_plant
2024-05-17,India,Kaiga nuclear power plant,6,,,700,pre-construction,pressurized heavy water reactor,Horizontal Pressure Tube type,2026,,,,2022,,,2026,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,,630,2166,14.86663,74.4398,exact,,Karwar taluk,Uttara Kannada,Karnataka,Southern Asia,Asia,L100000500220,G100000500632,https://www.gem.wiki/Kaiga_nuclear_power_plant
2024-05-17,India,Kakrapar nuclear power plant,1,,KAPP,220,operating,pressurized heavy water reactor,Horizontal Pressure Tube type,1993,,,,1984-12-01,1992-09-03,1992-11-24,1993-05-06,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,202,202,801,21.2384,73.3489,exact,,Mandvi Taluka,Surat,Gujarat,Southern Asia,Asia,L100000500044,G100000500220,https://www.gem.wiki/Kakrapar_nuclear_power_plant
2024-05-17,India,Kakrapar nuclear power plant,2,,KAPP,220,operating,pressurized heavy water reactor,Horizontal Pressure Tube type,1995,,,,1985-04-01,1995-01-08,1995-03-04,1995-09-01,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,202,202,801,21.2384,73.3489,exact,,Mandvi Taluka,Surat,Gujarat,Southern Asia,Asia,L100000500044,G100000500221,https://www.gem.wiki/Kakrapar_nuclear_power_plant
2024-05-17,India,Kakrapar nuclear power plant,3,,KAPP,700,operating,pressurized heavy water reactor,PHWR-700,2023,,,,2010-11-22,2020-07-22,2021-01-10,2023-06-30,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,630,630,2166,21.2384,73.3489,exact,,Mandvi Taluka,Surat,Gujarat,Southern Asia,Asia,L100000500044,G100000500219,https://www.gem.wiki/Kakrapar_nuclear_power_plant
2024-05-17,India,Kakrapar nuclear power plant,4,,KAPP,700,operating,pressurized heavy water reactor,PHWR-700,2024,,,,2010-11-22,2023-12-17,2024-02-20,2024-02-20,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,630,630,2166,21.2384,73.3489,exact,,Mandvi Taluka,Surat,Gujarat,Southern Asia,Asia,L100000500044,G100000500076,https://www.gem.wiki/Kakrapar_nuclear_power_plant
2024-05-17,India,Kalpakkam PFBR nuclear power plant,--,,Prototype Fast Breeder Reactor,500,construction,fast breeder reactor,Prototype,2024,,,,2004-10-23,,,2024,,Bharatiya Nabhikiya Vidyut Nigam LTD,,Bharatiya Nabhikiya Vidyut Nigam LTD,,470,470,1253,12.5531,80.1733,exact,,Tirukalukundram,Chengalpattu District,Tamil Nadu,Southern Asia,Asia,L100000500206,G100000500501,https://www.gem.wiki/Kalpakkam_PFBR_nuclear_power_plant
2024-05-17,India,Kovvada nuclear power plant,1,,,1250,pre-construction,pressurized water reactor,AP-1000,2025,,,,,,,2025,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,,,,18.1136,83.7117,exact,,Ranastalam,Srikakulam,Andhra Pradesh,Southern Asia,Asia,L100000500287,G100000500676,https://www.gem.wiki/Kovvada_nuclear_power_plant
2024-05-17,India,Kovvada nuclear power plant,2,,,1250,pre-construction,pressurized water reactor,AP-1000,,,,,,,,,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,,,,18.1136,83.7117,exact,,Ranastalam,Srikakulam,Andhra Pradesh,Southern Asia,Asia,L100000500287,G100000500677,https://www.gem.wiki/Kovvada_nuclear_power_plant
2024-05-17,India,Kovvada nuclear power plant,3,,,1250,pre-construction,pressurized water reactor,AP-1000,,,,,,,,,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,,,,18.1136,83.7117,exact,,Ranastalam,Srikakulam,Andhra Pradesh,Southern Asia,Asia,L100000500287,G100000500678,https://www.gem.wiki/Kovvada_nuclear_power_plant
2024-05-17,India,Kovvada nuclear power plant,4,,,1250,pre-construction,pressurized water reactor,AP-1000,,,,,,,,,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,,,,18.1136,83.7117,exact,,Ranastalam,Srikakulam,Andhra Pradesh,Southern Asia,Asia,L100000500287,G100000500679,https://www.gem.wiki/Kovvada_nuclear_power_plant
2024-05-17,India,Kovvada nuclear power plant,5,,,1250,pre-construction,pressurized water reactor,AP-1000,,,,,,,,,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,,,,18.1136,83.7117,exact,,Ranastalam,Srikakulam,Andhra Pradesh,Southern Asia,Asia,L100000500287,G100000500680,https://www.gem.wiki/Kovvada_nuclear_power_plant
2024-05-17,India,Kovvada nuclear power plant,6,,,1250,pre-construction,pressurized water reactor,AP-1000,,,,,,,,,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,,,,18.1136,83.7117,exact,,Ranastalam,Srikakulam,Andhra Pradesh,Southern Asia,Asia,L100000500287,G100000500681,https://www.gem.wiki/Kovvada_nuclear_power_plant
2024-05-17,India,Kudankulam nuclear power plant,1,,KKNPP,1000,operating,pressurized water reactor,VVER V-412,2014,,,,2002-03-31,2013-07-13,2013-10-22,2014-12-31,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,932,917,3000,8.1689,77.7126,exact,,Radhapuram,Tirunelveli District,Tamil Nadu,Southern Asia,Asia,L100000500108,G100000500207,https://www.gem.wiki/Kudankulam_nuclear_power_plant
2024-05-17,India,Kudankulam nuclear power plant,2,,KKNPP,1000,operating,pressurized water reactor,VVER V-412,2017,,,,2002-07-04,2016-07-10,2016-08-29,2017-03-31,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,932,917,3000,8.1689,77.7126,exact,,Radhapuram,Tirunelveli District,Tamil Nadu,Southern Asia,Asia,L100000500108,G100000500208,https://www.gem.wiki/Kudankulam_nuclear_power_plant
2024-05-17,India,Kudankulam nuclear power plant,3,,KKNPP,1000,construction,pressurized water reactor,VVER V-412,2025,,,,2017-06-29,,,2025,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,917,917,3000,8.1689,77.7126,exact,,Radhapuram,Tirunelveli District,Tamil Nadu,Southern Asia,Asia,L100000500108,G100000500230,https://www.gem.wiki/Kudankulam_nuclear_power_plant
2024-05-17,India,Kudankulam nuclear power plant,4,,KKNPP,1000,construction,pressurized water reactor,VVER V-412,2025,,,,2017-10-23,,,2025,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,917,917,3000,8.1689,77.7126,exact,,Radhapuram,Tirunelveli District,Tamil Nadu,Southern Asia,Asia,L100000500108,G100000500231,https://www.gem.wiki/Kudankulam_nuclear_power_plant
2024-05-17,India,Kudankulam nuclear power plant,5,,KKNPP,1000,construction,pressurized water reactor,VVER V-412,2027,,,,2021-06-29,,,2027,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,917,917,3000,8.1689,77.7126,exact,,Radhapuram,Tirunelveli District,Tamil Nadu,Southern Asia,Asia,L100000500108,G100000500232,https://www.gem.wiki/Kudankulam_nuclear_power_plant
2024-05-17,India,Kudankulam nuclear power plant,6,,KKNPP,1000,construction,pressurized water reactor,VVER V-412,2027,,,,2021-12-20,,,2027,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,917,917,3000,8.1689,77.7126,exact,,Radhapuram,Tirunelveli District,Tamil Nadu,Southern Asia,Asia,L100000500108,G100000500233,https://www.gem.wiki/Kudankulam_nuclear_power_plant
2024-05-17,India,Madras nuclear power plant,1,,,220,mothballed,pressurized heavy water reactor,Horizontal Pressure Tube type,1984,,,,1971-01-01,1983-07-02,1983-07-23,1984-01-27,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,205,202,801,12.5571,80.1754,exact,,Tirukalukundram,Chengalpattu District,Tamil Nadu,Southern Asia,Asia,L100000500218,G100000500526,https://www.gem.wiki/Madras_nuclear_power_plant
2024-05-17,India,Madras nuclear power plant,2,,,220,operating,pressurized heavy water reactor,Horizontal Pressure Tube type,1986,,,,1972-10-01,1985-08-12,1985-09-20,1986-03-21,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,205,202,801,12.5571,80.1754,exact,,Tirukalukundram,Chengalpattu District,Tamil Nadu,Southern Asia,Asia,L100000500218,G100000500527,https://www.gem.wiki/Madras_nuclear_power_plant
2024-05-17,India,Mahi Banswara nuclear power plant,1,,,700,pre-construction,pressurized heavy water reactor,PHWR-700,2029,,,,2024,,,2029,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,,,,23.5294,74.5906,exact,,Choti Sarvan Tehsil,Banswara District,Rajasthan,Southern Asia,Asia,L100000500288,G100000500682,https://www.gem.wiki/Mahi_Banswara_nuclear_power_plant
2024-05-17,India,Mahi Banswara nuclear power plant,2,,,700,pre-construction,pressurized heavy water reactor,PHWR-700,2029,,,,2024,,,2029,,Nuclear Power Corporation Of India LTD,,Nuclear Power Corporation Of India LTD,,,,,23.5294,74.5906,exact,,Choti Sarvan Tehsil,Banswara District,Rajasthan,Southern Asia,Asia,L100000500288,G100000500683,https://www.gem.wiki/Mahi_Banswara_nuclear_power_plant
