Date last researched,Country/Area,Project Name,Unit Name,Project Name in Local Language / Script,Other Name(s),Capacity (MW),Fuel,Status,Conversion/Replacement?,Unit conversion year,Start Year,Retired Year,Hydrogen Capable,Operator(s),Operator Name(s) in Local Language / Script,Owner(s),Owner Name(s) in Local Language / Script,Latitude,Longitude,Location Accuracy,City,"Local Area (taluk, county)","Major Area (prefecture, district)",State/Province,Subregion,Region,GEM location ID,GEM phase ID,Other IDs (location),Other IDs (unit/phase),Wiki URL,,
24.7.2024,India,Bandhwari Waste-to-Energy power station,--,,,25,bioenergy: refuse (municipal and industrial wastes),construction,,,2024,,,Ecogreen Energy,,Ecogreen Energy Pvt Ltd,,28.40383391,77.17277072,approximate,,,,,Southern Asia,Asia,L100001019064,G100001021473,,,https://www.gem.wiki/Bandhwari_Waste-to-Energy_power_station,,
8.8.2024,China,Beijing Chaoyang District power station,1.Jan,"北京高安屯垃圾焚烧发电厂, 北京市朝阳生活垃圾综合处理厂焚烧中心",,15,"bioenergy: refuse (municipal and industrial wastes), bioenergy: wastewater and sewage sludge (solids or biogas)",operating,,,2009,,,Beijing Gaoantun Waste Incineration,北京高安屯垃圾焚烧有限公司,Beijing Chaoyang Environment Group Co Ltd,北京朝阳环境集团有限公司,39.946931,116.614655,exact,Jinzhan,Chaoyang District,N/A,Beijing,Eastern Asia,Asia,L100000201789,G100001022205,,,https://www.gem.wiki/Beijing_Chaoyang_District_power_station,,
8.8.2024,China,Beijing Chaoyang District power station,2.Jan,"北京高安屯垃圾焚烧发电厂, 北京市朝阳生活垃圾综合处理厂焚烧中心",,15,"bioenergy: refuse (municipal and industrial wastes), bioenergy: wastewater and sewage sludge (solids or biogas)",operating,,,2009,,,Beijing Gaoantun Waste Incineration,北京高安屯垃圾焚烧有限公司,Beijing Chaoyang Environment Group Co Ltd,北京朝阳环境集团有限公司,39.946931,116.614655,exact,Jinzhan,Chaoyang District,N/A,Beijing,Eastern Asia,Asia,L100000201789,G100001022206,,,https://www.gem.wiki/Beijing_Chaoyang_District_power_station,,
8.8.2024,China,Beijing Chaoyang District power station,1.Feb,"北京高安屯垃圾焚烧发电厂, 北京市朝阳生活垃圾综合处理厂焚烧中心",,18,bioenergy: refuse (municipal and industrial wastes),operating,,,2016,,,Beijing Gaoantun Waste Incineration,北京高安屯垃圾焚烧有限公司,Beijing Chaoyang Environment Group Co Ltd,北京朝阳环境集团有限公司,39.946931,116.614655,exact,Jinzhan,Chaoyang District,N/A,Beijing,Eastern Asia,Asia,L100000201789,G100001022209,,,https://www.gem.wiki/Beijing_Chaoyang_District_power_station,,
8.8.2024,China,Beijing Chaoyang District power station,2.Feb,"北京高安屯垃圾焚烧发电厂, 北京市朝阳生活垃圾综合处理厂焚烧中心",,18,bioenergy: refuse (municipal and industrial wastes),operating,,,2016,,,Beijing Gaoantun Waste Incineration,北京高安屯垃圾焚烧有限公司,Beijing Chaoyang Environment Group Co Ltd,北京朝阳环境集团有限公司,39.946931,116.614655,exact,Jinzhan,Chaoyang District,N/A,Beijing,Eastern Asia,Asia,L100000201789,G100001022211,,,https://www.gem.wiki/Beijing_Chaoyang_District_power_station,,
24.6.2024,China,Beijing Tongzhou power station,1.Jan,北京通州垃圾焚烧发电项目,北京市通州区再生能源发电厂二期,25,bioenergy: refuse (municipal and industrial wastes),operating,,,2018,,,Beijing Green Power Environmental Protection,北京绿色动力环保有限公司,Dynagreen Environmental Protection Group Co Ltd [100%],绿色动力环保集团股份有限公司,39.6621,116.757,approximate,Yongledian,Tongzhou District,N/A,Beijing,Eastern Asia,Asia,L100000201847,G100001018801,,,https://www.gem.wiki/Beijing_Tongzhou_power_station,,
24.6.2024,China,Beijing Tongzhou power station,2.Jan,北京通州垃圾焚烧发电项目,北京市通州区再生能源发电厂二期,25,bioenergy: refuse (municipal and industrial wastes),operating,,,2018,,,Beijing Green Power Environmental Protection,北京绿色动力环保有限公司,Dynagreen Environmental Protection Group Co Ltd [100%],绿色动力环保集团股份有限公司,39.6621,116.757,approximate,Yongledian,Tongzhou District,N/A,Beijing,Eastern Asia,Asia,L100000201847,G100001018802,,,https://www.gem.wiki/Beijing_Tongzhou_power_station,,
14.4.2023,United States,Bogalusa Mill power station,NO8,,,25,"bioenergy: paper mill wastes, bioenergy: wood & other biomass (solids), fossil liquids: unknown",operating,,,1981,,,,,International Paper Co,,30.7811,-89.8575,exact,,Washington Parish,,Louisiana,Northern America,Americas,L100000201321,G100000201579,EIA: 54427,EIA: NO8,https://www.gem.wiki/Bogalusa_Mill_power_station,,
10.7.2024,Bangladesh,Brahmanbaria Waste-to-Energy power station,--,,Brahmanbaria Wte Steam Power Plant,11,bioenergy: refuse (municipal and industrial wastes),pre-construction,,,,,,,,Siddiqui Fabrics-Inteq Energy; Saudia-German Power Plant Ltd,,23.9906033,91.1040793,approximate,,,,,Southern Asia,Asia,L100001018564,G100001020764,,,https://www.gem.wiki/Brahmanbaria_Waste-to-Energy_power_station,,
12.7.2024,China,Chongqing Beibei power station,1.Jan,重庆同兴垃圾焚烧发电厂,,12,bioenergy: refuse (municipal and industrial wastes),operating,,,2005,,,Chongqing Tongxing Waste Disposal CO LTD,重庆同兴垃圾处理有限公司,,,29.671572,106.430752,exact,Tongjiaxi,Beibei District,N/A,Chongqing,Eastern Asia,Asia,L100001018728,G100001020980,,,https://www.gem.wiki/Chongqing_Beibei_power_station,,
