reporter,partner,year,volume_mio_m3,unit
MD,TOTAL,2019,1039.6,MIO_M3
MD,TOTAL,2020,1056.0,MIO_M3
MD,TOTAL,2021,1215.2,MIO_M3
MD,TOTAL,2022,947.8,MIO_M3
MD,TOTAL,2023,628.4,MIO_M3
ME,TOTAL,2014,0.0,MIO_M3
ME,TOTAL,2015,0.0,MIO_M3
ME,TOTAL,2016,0.0,MIO_M3
ME,TOTAL,2017,0.0,MIO_M3
ME,TOTAL,2018,0.0,MIO_M3
ME,TOTAL,2019,0.0,MIO_M3
ME,TOTAL,2020,0.0,MIO_M3
ME,TOTAL,2021,0.0,MIO_M3
ME,TOTAL,2022,0.0,MIO_M3
ME,TOTAL,2023,0.0,MIO_M3
MK,TOTAL,2014,134.0,MIO_M3
MK,TOTAL,2015,135.0,MIO_M3
MK,TOTAL,2016,211.0,MIO_M3
MK,TOTAL,2017,271.0,MIO_M3
MK,TOTAL,2018,251.0,MIO_M3
MK,TOTAL,2019,292.0,MIO_M3
MK,TOTAL,2020,334.462,MIO_M3
MK,TOTAL,2021,432.146,MIO_M3
MK,TOTAL,2022,286.985,MIO_M3
MK,TOTAL,2023,356.334,MIO_M3
MT,TOTAL,2014,0.0,MIO_M3
MT,TOTAL,2015,0.0,MIO_M3
MT,TOTAL,2016,0.0,MIO_M3
MT,TOTAL,2017,301.825,MIO_M3
MT,TOTAL,2018,378.707,MIO_M3
MT,TOTAL,2019,379.422,MIO_M3
MT,TOTAL,2020,364.182,MIO_M3
MT,TOTAL,2021,392.272,MIO_M3
MT,TOTAL,2022,384.442,MIO_M3
MT,TOTAL,2023,376.798,MIO_M3
NL,TOTAL,2014,31151.0,MIO_M3
NL,TOTAL,2015,36392.121,MIO_M3
NL,TOTAL,2016,41818.478,MIO_M3
NL,TOTAL,2017,24037.742,MIO_M3
NL,TOTAL,2018,31095.277,MIO_M3
NL,TOTAL,2019,35632.951,MIO_M3
NL,TOTAL,2020,36195.598,MIO_M3
NL,TOTAL,2021,30902.235,MIO_M3
NL,TOTAL,2022,38786.376,MIO_M3
NL,TOTAL,2023,40328.933,MIO_M3
NO,TOTAL,2014,0.0,MIO_M3
NO,TOTAL,2015,0.0,MIO_M3
NO,TOTAL,2016,0.0,MIO_M3
NO,TOTAL,2017,0.0,MIO_M3
NO,TOTAL,2018,9.191,MIO_M3
NO,TOTAL,2019,26.913,MIO_M3
NO,TOTAL,2020,33.822,MIO_M3
NO,TOTAL,2021,160.325,MIO_M3
NO,TOTAL,2022,67.806,MIO_M3
NO,TOTAL,2023,102.588,MIO_M3
PL,TOTAL,2014,11819.0,MIO_M3
PL,TOTAL,2015,12121.0,MIO_M3
PL,TOTAL,2016,14679.0,MIO_M3
PL,TOTAL,2017,15727.284,MIO_M3
PL,TOTAL,2018,15766.858,MIO_M3
PL,TOTAL,2019,17451.368,MIO_M3
PL,TOTAL,2020,17415.952,MIO_M3
PL,TOTAL,2021,18502.911,MIO_M3
PL,TOTAL,2022,15198.471,MIO_M3
PL,TOTAL,2023,15887.219,MIO_M3
PT,TOTAL,2014,4070.0,MIO_M3
PT,TOTAL,2015,4713.0,MIO_M3
PT,TOTAL,2016,4945.0,MIO_M3
PT,TOTAL,2017,6274.734,MIO_M3
PT,TOTAL,2018,5817.658,MIO_M3
PT,TOTAL,2019,6069.167,MIO_M3
PT,TOTAL,2020,5920.24,MIO_M3
PT,TOTAL,2021,5727.186,MIO_M3
PT,TOTAL,2022,5802.921,MIO_M3
PT,TOTAL,2023,4332.6,MIO_M3
RO,TOTAL,2014,584.0,MIO_M3
RO,TOTAL,2015,203.0,MIO_M3
RO,TOTAL,2016,1476.0,MIO_M3
RO,TOTAL,2017,1195.694,MIO_M3
RO,TOTAL,2018,1516.552,MIO_M3
RO,TOTAL,2019,2681.072,MIO_M3
RO,TOTAL,2020,2144.357,MIO_M3
RO,TOTAL,2021,3564.649,MIO_M3
RO,TOTAL,2022,2851.023,MIO_M3
RO,TOTAL,2023,2673.156,MIO_M3
RS,TOTAL,2014,1395.0,MIO_M3
RS,TOTAL,2015,1740.0,MIO_M3
RS,TOTAL,2016,1795.0,MIO_M3
RS,TOTAL,2017,2182.632,MIO_M3
RS,TOTAL,2018,2198.33,MIO_M3
RS,TOTAL,2019,2262.61,MIO_M3
RS,TOTAL,2020,1989.886,MIO_M3
RS,TOTAL,2021,2365.051,MIO_M3
RS,TOTAL,2022,2969.595,MIO_M3
RS,TOTAL,2023,2657.624,MIO_M3
SE,TOTAL,2014,891.0,MIO_M3
SE,TOTAL,2015,812.0,MIO_M3
SE,TOTAL,2016,917.0,MIO_M3
SE,TOTAL,2017,1067.0,MIO_M3
SE,TOTAL,2018,1139.0,MIO_M3
SE,TOTAL,2019,1088.537,MIO_M3
SE,TOTAL,2020,1446.88,MIO_M3
SE,TOTAL,2021,1224.171,MIO_M3
SE,TOTAL,2022,763.253,MIO_M3
SE,TOTAL,2023,909.929,MIO_M3
SI,TOTAL,2014,766.0,MIO_M3
SI,TOTAL,2015,813.0,MIO_M3
SI,TOTAL,2016,861.0,MIO_M3
SI,TOTAL,2017,902.5,MIO_M3
SI,TOTAL,2018,885.2,MIO_M3
SI,TOTAL,2019,898.7,MIO_M3
SI,TOTAL,2020,898.1,MIO_M3
SI,TOTAL,2021,947.1,MIO_M3
SI,TOTAL,2022,835.3,MIO_M3
SI,TOTAL,2023,805.5,MIO_M3
SK,TOTAL,2014,4757.0,MIO_M3
SK,TOTAL,2015,4407.0,MIO_M3
SK,TOTAL,2016,4378.0,MIO_M3
SK,TOTAL,2017,5248.0,MIO_M3
SK,TOTAL,2018,4396.0,MIO_M3
SK,TOTAL,2019,6707.0,MIO_M3
SK,TOTAL,2020,4301.0,MIO_M3
SK,TOTAL,2021,5131.0,MIO_M3
SK,TOTAL,2022,6191.0,MIO_M3
SK,TOTAL,2023,4501.0,MIO_M3
TR,TOTAL,2014,49262.0,MIO_M3
TR,TOTAL,2015,48427.0,MIO_M3
TR,TOTAL,2016,46352.0,MIO_M3
TR,TOTAL,2017,55250.0,MIO_M3
TR,TOTAL,2018,50282.0,MIO_M3
TR,TOTAL,2019,45212.0,MIO_M3
TR,TOTAL,2020,48125.771,MIO_M3
TR,TOTAL,2021,58703.93,MIO_M3
TR,TOTAL,2022,54661.68,MIO_M3
TR,TOTAL,2023,50483.764,MIO_M3
UA,TOTAL,2014,19134.0,MIO_M3
UA,TOTAL,2015,16174.0,MIO_M3
UA,TOTAL,2016,10719.0,MIO_M3
UA,TOTAL,2017,13705.0,MIO_M3
UA,TOTAL,2018,10293.0,MIO_M3
UA,TOTAL,2019,11567.481,MIO_M3
