Wiki URL,Country/Area,Plant name,Plant Name in Local Language / Script,Other Name(s),Unit name,Fuel,Capacity (MW),Status,Turbine/Engine Technology,Equipment Manufacturer/Model,CHP,Hydrogen capable?,CCS attachment?,Conversion/replacement?,Conversion from/replacement of (fuel),Conversion from/replacement of (GEM unit ID),Conversion to (fuel),Conversion to (GEM unit ID),Start year,Retired year,Planned retire,Operator(s),Owner(s),Parent(s),Latitude,Longitude,Location accuracy,City,"Local area (taluk, county)","Major area (prefecture, district)",State/Province,Subregion,Region,Other IDs (location),Other IDs (unit),Captive industry use,Captive industry type,Captive non-industry use,GEM location ID,GEM unit ID
https://www.gem.wiki/Electroquil_Thermal_power_station,Ecuador,Electroquil Thermal power station,Central Térmica Electroquil,,2,fossil liquids: diesel,45,retired,gas turbine,,not found,not found,not found,,,,,,1996,2022,,,Electroquil SA [100%],Duke Energy Corp,-2.189843,-80.045448,exact,Guayaquil,,,Guayas,Latin America and the Caribbean,Americas,,,,,,L100000408625,G100000412056
https://www.gem.wiki/Electroquil_Thermal_power_station,Ecuador,Electroquil Thermal power station,Central Térmica Electroquil,,3,fossil liquids: diesel,45,retired,gas turbine,,not found,not found,not found,,,,,,1997,2022,,,Electroquil SA [100%],Duke Energy Corp,-2.189843,-80.045448,exact,Guayaquil,,,Guayas,Latin America and the Caribbean,Americas,,,,,,L100000408625,G100000412055
https://www.gem.wiki/Electroquil_Thermal_power_station,Ecuador,Electroquil Thermal power station,Central Térmica Electroquil,,4,fossil liquids: diesel,45,retired,gas turbine,,not found,not found,not found,,,,,,1997,2022,,,Electroquil SA [100%],Duke Energy Corp,-2.189843,-80.045448,exact,Guayaquil,,,Guayas,Latin America and the Caribbean,Americas,,,,,,L100000408625,G100000412054
https://www.gem.wiki/El_Geneina_Power_Plant,Sudan,El Geneina Power Plant,محطة كهرباء الجنينة,,1,fossil liquids: diesel,8,operating,internal combustion,,not found,not found,not found,,,,,,,,,Sudanese Thermal Power Generating,Sudanese Thermal Power Generating Co Ltd,Sudanese Thermal Power Generating Co Ltd,13.448166,22.465361,exact,Al Junaynah,,,West Darfur,Northern Africa,Africa,,,,,power,L100001025795,G100001030692
https://www.gem.wiki/El_Geneina_Power_Plant,Sudan,El Geneina Power Plant,محطة كهرباء الجنينة,,2,"fossil liquids: diesel, fossil liquids: crude oil, fossil liquids: light fuel oil",4.8,operating,internal combustion,,not found,not found,not found,,,,,,,,,Sudanese Thermal Power Generating,Sudanese Thermal Power Generating Co Ltd,Sudanese Thermal Power Generating Co Ltd,13.448166,22.465361,exact,Al Junaynah,,,West Darfur,Northern Africa,Africa,,,,,power,L100001025795,G100001030693
https://www.gem.wiki/El_Geneina_Power_Plant,Sudan,El Geneina Power Plant,محطة كهرباء الجنينة,,3,"fossil liquids: diesel, fossil liquids: crude oil, fossil liquids: light fuel oil",1.6,operating,internal combustion,,not found,not found,not found,,,,,,,,,Sudanese Thermal Power Generating,Sudanese Thermal Power Generating Co Ltd,Sudanese Thermal Power Generating Co Ltd,13.448166,22.465361,exact,Al Junaynah,,,West Darfur,Northern Africa,Africa,,,,,power,L100001025795,G100001030694
https://www.gem.wiki/El_Menia_Mobile_power_plant,Algeria,El Menia Mobile power plant,محطة كهرباء المنيعة المتنقلة,El Golea Power Plant,1,fossil gas: natural gas,20,operating,gas turbine,,not found,not found,not found,,,,,,2024,,,,Sonelgaz SpA [100%],Sonelgaz SpA [100.0%],30.538744,2.904764,exact,El Menia,,,Ghardaïa,Northern Africa,Africa,,,power,,power,L100000408941,G100000413307
https://www.gem.wiki/El_Menia_Mobile_power_plant,Algeria,El Menia Mobile power plant,محطة كهرباء المنيعة المتنقلة,El Golea Power Plant,2,fossil gas: natural gas,20,operating,gas turbine,,not found,not found,not found,,,,,,2024,,,,Sonelgaz SpA [100%],Sonelgaz SpA [100.0%],30.538744,2.904764,exact,El Menia,,,Ghardaïa,Northern Africa,Africa,,,power,,power,L100000408941,G100000413306
https://www.gem.wiki/El_Menia_Mobile_power_plant,Algeria,El Menia Mobile power plant,محطة كهرباء المنيعة المتنقلة,El Golea Power Plant,3,fossil gas: natural gas,20,operating,gas turbine,,not found,not found,not found,,,,,,2024,,,,Sonelgaz SpA [100%],Sonelgaz SpA [100.0%],30.538744,2.904764,exact,El Menia,,,Ghardaïa,Northern Africa,Africa,,,power,,power,L100000408941,G100000413305
https://www.gem.wiki/El_Menia_Mobile_power_plant,Algeria,El Menia Mobile power plant,محطة كهرباء المنيعة المتنقلة,El Golea Power Plant,4,fossil gas: natural gas,20,operating,gas turbine,,not found,not found,not found,,,,,,2024,,,,Sonelgaz SpA [100%],Sonelgaz SpA [100.0%],30.538744,2.904764,exact,El Menia,,,Ghardaïa,Northern Africa,Africa,,,power,,power,L100000408941,G100000413304
