Date Last Researched,Country 1,Country 2,Project Name,Project Name (local lang/script),Other name(s),Capacity (MW),Binational,Country 1 Capacity (MW),Country 2 Capacity (MW),Turbines,Status,Complex,Start Year,Retired Year,Owner,Owner Name (local lang/script),Operator,Operator Name (local lang/script),Technology Type,River / Watercourse,Latitude,Longitude,Location Accuracy,City 1,Local Area 1,Major Area 1,State/Province 1,Subregion 1,Region 1,City 2,Local Area 2,Major Area 2,State/Province 2,Subregion 2,Region 2,GEM location ID,GEM unit ID,Wiki URL
2023-10-19,Ecuador,,Upano hydroelectric plant,Central Hidroeléctrica Upano,,20,No,20,0,,pre-construction,,,,,,,,unknown,,-2.3801,-78.1501,approximate,,Morona,,Morona Santiago,Latin America and the Caribbean,Americas,,,,,,,L601554,G604905,
2023-10-19,Ecuador,,Valladolid hydroelectric plant,Central Hidroeléctrica Valladolid,,22,No,22,0,,pre-construction,,,,,,,,unknown,,-4.5486,-79.1303,exact,,Palanda,,Zamora Chinchipe,Latin America and the Caribbean,Americas,,,,,,,L601555,G601573,
2022-05-18,Ecuador,,Victoria hydroelectric plant (Ecuador),Central Hidroeléctrica Victoria,,10,No,10,0,,operating,,2016,,,,Hidrovictoria SA,,unknown,,-0.4167,-78.0242,exact,,Quijos,,Napo,Latin America and the Caribbean,Americas,,,,,,,L601556,G601574,
2023-10-19,Ecuador,,Yanuncay hydroelectric plant,Central Hidroeléctrica Yanuncay,,15,No,15,0,,shelved,,,,,,Elecaustro SA,,unknown,,-2.9959,-79.2859,exact,Cuenca,,,Azuay,Latin America and the Caribbean,Americas,,,,,,,L601557,G604964,
2023-11-08,India,,Salki hydroelectric plant,,,70,No,70,0,,announced,,,,Odisha Hydro Power CORP LTD,,,,conventional storage,Salki River,20.5555,84.1875,exact,,Phulabani,Kandhamal,Odisha,Southern Asia,Asia,,,,,,,L602022,G602042,
2023-09-26,Morocco,,Imezdilfane hydroelectric plant,,,62,No,62,0,,announced,Khenifra Complex,2027,,Office National de L'Electricite de L'Eau Potable,المكتب الوطنى للكهرباء والماء الصالح للشرب,Office National de L'Electricite de L'Eau Potable,المكتب الوطنى للكهرباء والماء الصالح للشرب,unknown,Oum Er-Rbia River,32.9394,-5.6675,approximate,Khenifra,Oum Er-Rbia River Basin,Béni Mellal,Khénifra,Northern Africa,Africa,,,,,,,L604256,G604508,
2024-02-23,Morocco,,Tajemout hydroelectric plant,,,28,No,28,0,,announced,Khenifra Complex,2027,,Office National de L'Electricite de L'Eau Potable,المكتب الوطنى للكهرباء والماء الصالح للشرب,Office National de L'Electricite de L'Eau Potable,المكتب الوطنى للكهرباء والماء الصالح للشرب,unknown,Oum Er-Rbia River,32.9394,-5.6675,approximate,Khenifra,Oum Er-Rbia River Basin,Béni Mellal,Khénifra,Northern Africa,Africa,,,,,,,L604404,G604986,
2024-02-23,Morocco,,Taskdert hydroelectric plant,,,38,No,38,0,,announced,Khenifra Complex,2027,,Office National de L'Electricite de L'Eau Potable,المكتب الوطنى للكهرباء والماء الصالح للشرب,Office National de L'Electricite de L'Eau Potable,المكتب الوطنى للكهرباء والماء الصالح للشرب,unknown,Oum Er-Rbia River,32.9394,-5.6675,approximate,Khenifra,Oum Er-Rbia River Basin,Béni Mellal,Khénifra,Northern Africa,Africa,,,,,,,L604405,G604987,
2023-11-21,Nepal,,Aayu Chhatigad hydroelectric plant,,Aayu Chhati Gad hydroelectric plant,14,No,14,0,,announced,,,,,,Puwa Khola-1 Hydro Power PVT LTD,,unknown,,29.8201,80.8815,approximate,Apihimal Rural Municipality,Darchula District,Darchula District,Sudurpashchim Province,Southern Asia,Asia,,,,,,,L602572,G604196,
2023-11-21,Nepal,,Akhu Khola 2 hydroelectric plant,,Ankhu Khola,20,No,20,0,,pre-construction,,,,Ganesh Himal Hydropower PVT LTD,,,,run-of-river,Ankhu Khola River,28.0401,84.9626,approximate,Gumdi Village,Dhading District,Bagmati Zone,Bagmati Province,Southern Asia,Asia,,,,,,,L602574,G602605,
