Region,Country,Solar_capacity,Wind_capacity,Nuclear_capacity,Coal_capacity,Hydro_capacity,Oil_capacity,Gas_capacity,Bio_capacity,Geo_capacity,total_capacity,Solar_generation,Wind_generation,Nuclear_generation,Coal_generation,Hydro_generation,Gas_generation,Oil_generation,Bio_generation,Geo_generation,total_generation,ISO_A3
Asia,Türkiye,4608.6,12992.5,,20473.2,22834.0,566.0,25498.0,120.0,1186.0,88278.3,6.0557004,28.453575,,98.63987760000002,80.010336,89.344992,1.983264,0.5256,8.311488,313.324833,TUR
Europe,Italy,5081.0,10198.0,,5190.0,13242.0,1469.0,47349.0,590.0,400.0,83519.0,5.3411472,26.800344,,18.18576,40.599972,186.649758,4.2465852,2.5842,2.4528,286.86056640000004,ITA
Oceania,Australia,12424.3,14386.1,,22829.0,7377.0,776.0,18353.0,280.0,,76425.4,20.679004919999997,37.8066708,,119.989224,19.386756,32.154456,1.3595520000000003,1.2264,,232.60206372000002,AUS
Asia,Vietnam,14379.6,7403.1,,27239.0,14749.0,,8146.0,15.0,,71931.7,18.894794400000002,16.212789,,131.237502,51.680496,28.543584,,0.0657,,246.63486540000002,VNM
Africa,Egypt,3395.3,1893.0,,,2778.0,836.6,52823.0,,,61725.9,4.758852480000001,4.14567,,,4.867056,138.818844,2.1985848,,,154.78900728,EGY
Africa,South Africa,4376.2,3746.0,1940,44224.1,3492.0,2418.0,1287.0,,,61483.3,6.13368192,8.20374,10.19664,232.4418696,6.117984000000001,3.3822359999999994,6.354504,,,272.83065552,ZAF
Asia,United Arab Emirates,6639.9,99.0,5668,,,29.0,42396.0,220.0,,55051.9,8.7248286,0.21681,39.72134400000001,,,148.555584,0.10161600000000001,0.9636,,198.28378260000005,ARE
Asia,Thailand,3324.4,2137.0,,6138.0,3570.0,,37814.0,866.0,,53849.4,4.368261599999999,4.68003,,29.572884,12.50928,132.500256,,3.79308,,187.42379160000002,THA
Asia,Iraq,778.7,,,,2436.0,10956.0,38296.3,,,52467.0,1.0232118000000001,,,,8.535744,134.19023520000002,38.389824000000004,,,182.13901500000003,IRQ
Asia,Taiwan,4084.8,3566.0,1902,18116.0,4128.0,1522.9,18810.0,249.0,,52378.7,5.3674272,7.80954,13.329216000000002,87.28288800000001,14.464512,65.91024,5.3362416,1.09062,,200.59068480000002,TWN
Europe,Poland,2400.6,8645.0,,27857.0,2043.0,,4960.5,713.0,,46619.1,2.52351072,22.71906,,97.61092800000002,6.263838,19.554291,,3.12294,,151.79456772000003,POL
Asia,Pakistan,1072.0,1941.0,3530,8298.0,10468.0,3977.0,15971.0,255.2,,45512.2,1.4086079999999999,4.25079,24.73824,39.97976400000001,36.679872,55.96238400000001,13.935408000000002,1.117776,,178.072842,PAK
Americas,Argentina,1875.1,4666.1,1763,375.0,11749.0,28.0,22858.0,180.0,,43494.2,3.12091644,13.48876188,13.899492,1.6425,46.314558,70.082628,0.08584799999999998,0.7884,,149.42310432,ARG
Asia,Malaysia,2222.7,,,13280.0,6032.0,,16957.0,,,38491.7,2.9206277999999997,,,63.98304000000001,21.136128,59.417328,,,,147.4571238,MYS
Europe,Sweden,243.4,13663.4,7184,,10908.0,1741.0,878.0,2529.0,,37146.8,0.25586208,35.907415199999996,44.05228799999999,,33.443928,3.461076,5.032882799999999,11.07702,,133.23047208,SWE
