Region,Country,Solar_capacity,Wind_capacity,Nuclear_capacity,Coal_capacity,Hydro_capacity,Oil_capacity,Gas_capacity,Bio_capacity,Geo_capacity,total_capacity,Solar_generation,Wind_generation,Nuclear_generation,Coal_generation,Hydro_generation,Gas_generation,Oil_generation,Bio_generation,Geo_generation,total_generation,ISO_A3
Oceania,Papua New Guinea,1.0,,,,77.0,71.0,178.0,,30.0,357.0,0.0016644000000000001,,,,0.20235599999999998,0.311856,0.12439200000000002,,0.21024,0.8505084,PNG
Africa,Equatorial Guinea,,,,,120.0,,218.0,,,338.0,,,,,0.21024,0.5729039999999999,,,,0.7831439999999998,GNQ
Africa,Niger,42.8,,,30.0,,237.0,,,,309.8,0.05998848,,,0.15768,,,0.622836,,,0.8405044799999999,NER
Americas,French Guiana,35.7,,,,116.0,150.7,,,,302.4,0.05941908,,,,0.457272,,0.4620461999999999,,,0.9787372799999998,GUF
Africa,Sierra Leone,20.8,,,,,75.0,162.0,32.0,,289.8,0.029153280000000004,,,,,0.425736,0.1971,0.112128,,0.76411728,SLE
Asia,Timor-Leste,,,,,,255.0,,,,255.0,,,,,,,0.89352,,,0.89352,TLS
Americas,Aruba,7.4,30.0,,,,,194.0,,,231.4,0.01231656,0.086724,,,,0.5948039999999999,,,,0.6938445599999998,ABW
Oceania,Fiji,,10.0,,,80.0,128.0,,,,218.0,,0.02628,,,0.21024,,0.224256,,,0.460776,FJI
Africa,Togo,52.4,,,,,,165.0,,,217.4,0.07344384,,,,,0.43362,,,,0.50706384,TGO
Americas,Paraguay,2.0,,,,210.0,,,,,212.0,0.0033288000000000002,,,,0.82782,,,,,0.8311488,PRY
Americas,Bahamas,,,,,,52.0,132.0,,,184.0,,,,,,0.40471199999999996,0.159432,,,0.564144,BHS
Africa,Eritrea,10.9,,,,,168.0,,,,178.9,0.01527744,,,,,,0.441504,,,0.45678144,ERI
Europe,Isle of Man,,,,,,86.9,87.0,,,173.9,,,,,,0.342954,0.25121052,,,0.59416452,IMN
Asia,Palestine,30.4,,,,,,140.0,,,170.4,0.0399456,,,,,0.49056,,,,0.5305056,
Africa,South Sudan,52.0,,,,,118.0,,,,170.0,0.0728832,,,,,,0.310104,,,0.38298719999999997,SSD
Africa,Djibouti,,59.0,,,,108.0,,,,167.0,,0.12921,,,,,0.283824,,,0.413034,DJI
Americas,Cayman Islands,4.0,,,,,89.7,64.0,,,157.7,0.0066576000000000005,,,,,0.196224,0.2750202,,,0.47790180000000004,CYM
Africa,Benin,25.0,,,,,,127.0,,,152.0,0.03504,,,,,0.333756,,,,0.368796,BEN
Africa,The Gambia,23.0,,,,,121.0,,,,144.0,0.0322368,,,,,,0.317988,,,0.3502248,
Africa,Liberia,,,,,88.0,38.0,,,,126.0,,,,,0.154176,,0.099864,,,0.25404,LBR
Africa,Rwanda,12.1,,,,,28.8,82.1,,,123.0,0.01695936,,,,,0.2157588,0.07568640000000001,,,0.30840456000000005,RWA
Americas,Bermuda,6.0,,,,,58.0,56.0,,,120.0,0.009986400000000001,,,,,0.17169599999999996,0.17782799999999996,,,0.3595103999999999,BMU
Africa,Seychelles,7.5,6.0,,,,93.0,,,,106.5,0.010512,0.01314,,,,,0.244404,,,0.268056,SYC
Oceania,Guam,97.2,,,,,,,,,97.2,0.16177967999999998,,,,,,,,,0.16177967999999998,GUM
Africa,Somalia,28.9,,,,,65.0,,,,93.9,0.04050624,,,,,,0.17082,,,0.21132624,SOM
Africa,Central African Republic,40.0,,,,,50.0,,,,90.0,0.056064,,,,,,0.1314,,,0.187464,CAF
Africa,Chad,,,,,,89.0,,,,89.0,,,,,,,0.233892,,,0.233892,TCD
Africa,Eswatini,13.4,,,,,,,70.0,,83.4,0.018781440000000003,,,,,,,0.24528,,0.26406144,SWZ
Americas,Barbados,21.8,1.0,,,,60.0,,,,82.8,0.036283920000000004,0.0028908000000000002,,,,,0.18396,,,0.22313472,BRB
Oceania,Samoa,8.1,,,,,51.0,,,,59.1,0.01348164,,,,,,0.08935200000000001,,,0.10283364000000002,WSM
Europe,Åland Islands,,54.0,,,,,,,,54.0,,0.141912,,,,,,,,0.141912,ALA
Asia,Maldives,,,,,,,50.0,,,50.0,,,,,,0.1752,,,,0.1752,MDV
Americas,Curaçao,,47.0,,,,,,,,47.0,,0.1358676,,,,,,,,0.1358676,CUW
Africa,Cabo Verde,20.6,25.7,,,,,,,,46.3,0.028872960000000003,0.056283,,,,,,,,0.08515596,CPV
Africa,Burundi,14.0,,,,,,30.0,,,44.0,0.0196224,,,,,0.07884,,,,0.09846239999999999,BDI
Europe,Faroe Islands,,37.0,,,,,,,,37.0,,0.097236,,,,,,,,0.097236,FRO
Africa,Lesotho,30.0,,,,,,,,,30.0,0.042048,,,,,,,,,0.042048,LSO
Oceania,American Samoa,1.4,,,,,23.0,,,,24.4,0.00233016,,,,,,0.040296000000000005,,,0.04262616,ASM
Americas,Saint Pierre and Miquelon,,,,,,21.0,,,,21.0,,,,,,,0.064386,,,0.064386,SPM
Africa,Mayotte,15.5,,,,,,,,,15.5,0.0217248,,,,,,,,,0.0217248,MYT
Oceania,Palau,15.3,,,,,,,,,15.3,0.02546532,,,,,,,,,0.02546532,PLW
Americas,"Bonaire, Sint Eustatius, and Saba",4.1,11.0,,,,,,,,15.1,0.006824039999999999,0.0317988,,,,,,,,0.03862284,
Americas,Virgin Islands (U.S.),10.4,,,,,,,,,10.4,0.01730976,,,,,,,,,0.01730976,
Americas,Belize,10.0,,,,,,,,,10.0,0.016644,,,,,,,,,0.016644,BLZ
Africa,Guinea-Bissau,10.0,,,,,,,,,10.0,0.014016,,,,,,,,,0.014016,GNB
Americas,Antigua and Barbuda,7.5,,,,,,,,,7.5,0.012483,,,,,,,,,0.012483,ATG
Oceania,Tonga,4.7,1.4,,,,,,,,6.1,0.00782268,0.0036791999999999997,,,,,,,,0.011501879999999999,TON
Americas,Saint Lucia,4.8,,,,,,,,,4.8,0.007989119999999999,,,,,,,,,0.007989119999999999,LCA
Oceania,Vanuatu,1.1,3.4,,,,,,,,4.5,0.0018308400000000002,0.0089352,,,,,,,,0.010766040000000001,VUT
Africa,British Indian Ocean Territory,3.4,,,,,,,,,3.4,0.00476544,,,,,,,,,0.00476544,IOT
Africa,Comoros,2.6,,,,,,,,,2.6,0.0036441600000000005,,,,,,,,,0.0036441600000000005,COM
Americas,Guyana,2.5,,,,,,,,,2.5,0.004161,,,,,,,,,0.004161,GUY
Oceania,Norfolk Island,,2.4,,,,,,,,2.4,,0.0063072,,,,,,,,0.0063072,NFK
Oceania,Micronesia,2.3,,,,,,,,,2.3,0.0038281199999999995,,,,,,,,,0.0038281199999999995,
Americas,Saint Kitts and Nevis,,2.2,,,,,,,,2.2,,0.006359760000000001,,,,,,,,0.006359760000000001,KNA
Oceania,Kiribati,1.8,,,,,,,,,1.8,0.00299592,,,,,,,,,0.00299592,KIR
Europe,Andorra,1.4,,,,,,,,,1.4,0.0014716799999999997,,,,,,,,,0.0014716799999999997,AND
Oceania,Cook Islands,1.1,,,,,,,,,1.1,0.0018308400000000002,,,,,,,,,0.0018308400000000002,COK
